name	loc_col
Tullyrossmearan	(0, 15, 'LOC')
Mourne Beg River	(0, 16, 'LOC')
Lough Macnean Upper	(0, 19, 'LOC')
River Foyle	(0, 11, 'LOC')
River Erne	(0, 10, 'LOC')
Dromore Lough	(0, 13, 'LOC')
Dromore Head	(0, 12, 'LOC')
Cliff	(0, 5, 'LOC')
Claddagh River	(0, 14, 'LOC')
Buncrana	(0, 8, 'LOC')
Dromore West	(0, 12, 'LOC')
Dromore House	(0, 13, 'LOC')
Youghal Harbour	(0, 15, 'LOC')
Youghal Bay	(0, 11, 'LOC')
Youghal	(0, 7, 'LOC')
Yellow River	(0, 12, 'LOC')
Yellow Furze	(0, 12, 'LOC')
Woodville	(0, 9, 'LOC')
Wood View	(0, 9, 'LOC')
Woodtown West	(0, 13, 'LOC')
Woodstown	(0, 9, 'LOC')
Woodstock House	(0, 15, 'LOC')
Woodsgift House	(0, 15, 'LOC')
Woodrooff House	(0, 15, 'LOC')
Woodpark	(0, 8, 'LOC')
Woodmount	(0, 9, 'LOC')
Wood Lodge	(0, 10, 'LOC')
Woodlawn Station	(0, 16, 'LOC')
Woodlawn	(0, 8, 'LOC')
Woodlands Station	(0, 17, 'LOC')
Woodhouse	(0, 9, 'LOC')
Wood Hill	(0, 9, 'LOC')
Woodfort	(0, 8, 'LOC')
Woodford River	(0, 14, 'LOC')
Woodford	(0, 8, 'LOC')
Woodfield House	(0, 15, 'LOC')
Woodenbridge Junction Station	(0, 29, 'LOC')
Woodenbridge	(0, 12, 'LOC')
Woodbrook House	(0, 15, 'LOC')
Woodbrook	(0, 9, 'LOC')
Woodbine Hill	(0, 13, 'LOC')
Wingfield House	(0, 15, 'LOC')
Windy Harbour	(0, 13, 'LOC')
Windy Gap	(0, 9, 'LOC')
Windgap	(0, 7, 'LOC')
Windfield House	(0, 15, 'LOC')
Wilton House	(0, 12, 'LOC')
Wilton Castle	(0, 13, 'LOC')
Wilmount House	(0, 14, 'LOC')
Wilmount	(0, 8, 'LOC')
Wills Grove	(0, 11, 'LOC')
Willsbrook House	(0, 16, 'LOC')
Willmount House	(0, 15, 'LOC')
Willmount	(0, 9, 'LOC')
Williamstown Lodge	(0, 18, 'LOC')
Williamstown House	(0, 18, 'LOC')
Williamstown Harbour	(0, 20, 'LOC')
Williamstown	(0, 12, 'LOC')
Willbrook	(0, 9, 'LOC')
Wilkinstown	(0, 11, 'LOC')
Wilford House	(0, 13, 'LOC')
Wild Bellows Rock	(0, 17, 'LOC')
Wicklow Mountains	(0, 17, 'LOC')
Wicklow Head	(0, 12, 'LOC')
Wicklow Gap	(0, 11, 'LOC')
Wicklow	(0, 7, 'LOC')
Whiting Bay	(0, 11, 'LOC')
Whitfield Court	(0, 15, 'LOC')
Whitewood House	(0, 15, 'LOC')
Whitewell House	(0, 15, 'LOC')
Whites Town	(0, 11, 'LOC')
White River	(0, 11, 'LOC')
White Point	(0, 11, 'LOC')
White Mountain	(0, 14, 'LOC')
White Lough	(0, 11, 'LOC')
Whitehill House	(0, 15, 'LOC')
Whitehall	(0, 9, 'LOC')
Paulstown	(0, 9, 'LOC')
Whitegate	(0, 9, 'LOC')
Whitechurch	(0, 11, 'LOC')
White Castle	(0, 12, 'LOC')
White Ball Head	(0, 15, 'LOC')
Whiddy Island	(0, 13, 'LOC')
Wheelam Cross Roads	(0, 19, 'LOC')
Whale Head	(0, 10, 'LOC')
Wexford Harbour	(0, 15, 'LOC')
Loch Garman	(0, 11, 'LOC')
West Village	(0, 12, 'LOC')
West Town	(0, 9, 'LOC')
West Sister	(0, 11, 'LOC')
Westport House	(0, 14, 'LOC')
Westport Bay	(0, 12, 'LOC')
Westport	(0, 8, 'LOC')
Westmoreland Fort	(0, 17, 'LOC')
An Iarmhí	(0, 9, 'LOC')
Westland Row Station	(0, 20, 'LOC')
Westland House	(0, 14, 'LOC')
Westfield	(0, 9, 'LOC')
West Cove	(0, 9, 'LOC')
West Court	(0, 10, 'LOC')
Wells House	(0, 11, 'LOC')
Wellmount House	(0, 15, 'LOC')
Wellingtonbridge	(0, 16, 'LOC')
Welchtown	(0, 9, 'LOC')
Webbsborough	(0, 12, 'LOC')
Weatherstown	(0, 12, 'LOC')
Waterville	(0, 10, 'LOC')
Waterstown House	(0, 16, 'LOC')
Waterloo	(0, 8, 'LOC')
Watergrasshill	(0, 14, 'LOC')
Waterford North Station	(0, 23, 'LOC')
Waterford Manor Station	(0, 23, 'LOC')
Waterford Harbour	(0, 17, 'LOC')
Waterford	(0, 9, 'LOC')
Waterfall	(0, 9, 'LOC')
Waterdale House	(0, 15, 'LOC')
Watch House Village	(0, 19, 'LOC')
Warrenstown	(0, 11, 'LOC')
Warrens Grove	(0, 13, 'LOC')
Warrens Court	(0, 13, 'LOC')
War Hill	(0, 8, 'LOC')
Hill of Ward	(0, 12, 'LOC')
Ward	(0, 4, 'LOC')
Walterstown	(0, 11, 'LOC')
Walshtown	(0, 9, 'LOC')
Walshpool Lough	(0, 15, 'LOC')
Virginia Road	(0, 13, 'LOC')
Virginia	(0, 8, 'LOC')
Violetstown House	(0, 17, 'LOC')
Violet Hill	(0, 11, 'LOC')
Vinegar Hill	(0, 12, 'LOC')
Villierstown	(0, 12, 'LOC')
Vicarstown Cross Roads	(0, 22, 'LOC')
Vicarstown	(0, 10, 'LOC')
Ventry Harbour	(0, 14, 'LOC')
Ventry	(0, 6, 'LOC')
Velvetstown House	(0, 17, 'LOC')
Lough Vearty	(0, 12, 'LOC')
Lough Beagh	(0, 11, 'LOC')
Vartry River	(0, 12, 'LOC')
Valencia River	(0, 14, 'LOC')
Valentia Island	(0, 15, 'LOC')
Valentia Harbour Station	(0, 24, 'LOC')
Valentia Harbour	(0, 16, 'LOC')
Urris Hills	(0, 11, 'LOC')
Urrin River	(0, 11, 'LOC')
Urlingford	(0, 10, 'LOC')
Urlaur Lough	(0, 12, 'LOC')
Uregare House	(0, 13, 'LOC')
Urbalreagh	(0, 10, 'LOC')
Upton House	(0, 11, 'LOC')
Upton	(0, 5, 'LOC')
Upper Court	(0, 11, 'LOC')
Upperchurch	(0, 11, 'LOC')
Unshin River	(0, 12, 'LOC')
Lough Unshin	(0, 12, 'LOC')
Unionhall	(0, 9, 'LOC')
Umrycam	(0, 7, 'LOC')
Ummeryroe	(0, 9, 'LOC')
Umma House	(0, 10, 'LOC')
Umfin Island	(0, 12, 'LOC')
Ullard	(0, 6, 'LOC')
Lough Ugga Beg	(0, 14, 'LOC')
Tyrrelstown House	(0, 17, 'LOC')
Tyrrellspass	(0, 12, 'LOC')
Tyredagh Castle	(0, 15, 'LOC')
Tyrcallen	(0, 9, 'LOC')
Tynagh	(0, 6, 'LOC')
Tyholland Bridge	(0, 16, 'LOC')
Two Rock Mountain	(0, 17, 'LOC')
Twomileditch	(0, 12, 'LOC')
Twomileborris	(0, 13, 'LOC')
The Twelve Pins	(0, 15, 'LOC')
Tuskar Rock	(0, 11, 'LOC')
Turvey House	(0, 12, 'LOC')
Turners Rock	(0, 12, 'LOC')
Turloughmore	(0, 12, 'LOC')
Turlough	(0, 8, 'LOC')
Turkstown	(0, 9, 'LOC')
Turbotston	(0, 10, 'LOC')
Turbot Island	(0, 13, 'LOC')
Tulsk	(0, 5, 'LOC')
Tullyvin House	(0, 14, 'LOC')
Tullyvin	(0, 8, 'LOC')
Tullynascreen	(0, 13, 'LOC')
Tullynahinnera	(0, 14, 'LOC')
Tullymurray	(0, 11, 'LOC')
Tullymore	(0, 9, 'LOC')
Tully Lough	(0, 11, 'LOC')
Tullylease	(0, 10, 'LOC')
Tullyleague	(0, 11, 'LOC')
Tullyglass House	(0, 16, 'LOC')
Tullycreen Upper	(0, 16, 'LOC')
Tullycreen Lower	(0, 16, 'LOC')
Tullycanna	(0, 10, 'LOC')
Tullybrook	(0, 10, 'LOC')
Tullyard	(0, 8, 'LOC')
Tullyallen	(0, 10, 'LOC')
Tully	(0, 5, 'LOC')
Tullow	(0, 6, 'LOC')
Tullira Castle	(0, 14, 'LOC')
Tullig Point	(0, 12, 'LOC')
Tullig	(0, 6, 'LOC')
Tullaroan	(0, 9, 'LOC')
Tullamore River	(0, 15, 'LOC')
Tullamore	(0, 9, 'LOC')
Tullaher Lough	(0, 14, 'LOC')
Tullagh Point	(0, 13, 'LOC')
Tullaghought	(0, 12, 'LOC')
Tullagher	(0, 9, 'LOC')
Tullagh Bay	(0, 11, 'LOC')
Tullaghanoge	(0, 12, 'LOC')
Tullaghan Bay	(0, 13, 'LOC')
Tullaghan	(0, 9, 'LOC')
Tulla	(0, 5, 'LOC')
Tudenham Park	(0, 13, 'LOC')
Tubber	(0, 6, 'LOC')
Tuam	(0, 4, 'LOC')
Truskmore	(0, 9, 'LOC')
Trusk Lough	(0, 11, 'LOC')
Trusklieve	(0, 10, 'LOC')
Trubley Castle	(0, 14, 'LOC')
Trough	(0, 6, 'LOC')
Triogue River	(0, 13, 'LOC')
Trimoge River	(0, 13, 'LOC')
Trim	(0, 4, 'LOC')
The Triangle	(0, 12, 'LOC')
Tremone Bay	(0, 11, 'LOC')
Tremblestown River	(0, 18, 'LOC')
Treantagh	(0, 9, 'LOC')
Trawmore Bay	(0, 12, 'LOC')
Trawenagh Bay	(0, 13, 'LOC')
Trawbreaga Bay	(0, 14, 'LOC')
Traverston House	(0, 16, 'LOC')
Tranarossan Bay	(0, 15, 'LOC')
Tranagh	(0, 7, 'LOC')
Tramore Bay	(0, 11, 'LOC')
Trá Mhór	(0, 8, 'LOC')
Tralong Bay	(0, 11, 'LOC')
Tralee Bay	(0, 10, 'LOC')
Tralee	(0, 6, 'LOC')
Tracton	(0, 7, 'LOC')
Tracarta	(0, 8, 'LOC')
Trabolgan House	(0, 15, 'LOC')
Townley Hall	(0, 12, 'LOC')
Towerhill House	(0, 15, 'LOC')
Tower	(0, 5, 'LOC')
Tourin	(0, 6, 'LOC')
Tourig River	(0, 12, 'LOC')
Tory Sound	(0, 10, 'LOC')
Tory Island	(0, 11, 'LOC')
The Tor Rocks	(0, 13, 'LOC')
Torneady Point	(0, 14, 'LOC')
Tormore Island	(0, 14, 'LOC')
Torc Mountain	(0, 13, 'LOC')
Torc Cascade	(0, 12, 'LOC')
Toormore Bay	(0, 12, 'LOC')
Toormore	(0, 8, 'LOC')
Toormakeady Lodge	(0, 17, 'LOC')
Toormakeady	(0, 11, 'LOC')
Tooreeny	(0, 8, 'LOC')
Tooreens	(0, 8, 'LOC')
Tooreengarriv	(0, 13, 'LOC')
Tooreendonnell	(0, 14, 'LOC')
Tooreencahill	(0, 13, 'LOC')
Tooreenbrien Bridge	(0, 19, 'LOC')
Tooreen	(0, 7, 'LOC')
Tooravoola	(0, 10, 'LOC')
Tooraneena	(0, 10, 'LOC')
Toor	(0, 4, 'LOC')
Toon River	(0, 10, 'LOC')
Toonagh House	(0, 13, 'LOC')
Toomyvara	(0, 9, 'LOC')
Toomona House	(0, 13, 'LOC')
Toomard	(0, 7, 'LOC')
Tooban Junction	(0, 15, 'LOC')
Tonlegee House	(0, 14, 'LOC')
Tonduff	(0, 7, 'LOC')
Tomies Mountain	(0, 15, 'LOC')
Tomhaggard	(0, 10, 'LOC')
Tuamgraney	(0, 10, 'LOC')
Tombrack	(0, 8, 'LOC')
Tomacurry	(0, 9, 'LOC')
Tolka River	(0, 11, 'LOC')
Toghermore	(0, 10, 'LOC')
The Togher	(0, 10, 'LOC')
Togher	(0, 6, 'LOC')
Roundwood	(0, 9, 'LOC')
Toem	(0, 4, 'LOC')
Toe Head Bay	(0, 12, 'LOC')
Toe Head	(0, 8, 'LOC')
Tobertynan House	(0, 16, 'LOC')
Toberscanavan	(0, 13, 'LOC')
Toberdan	(0, 8, 'LOC')
Tobercurry	(0, 10, 'LOC')
Tober	(0, 5, 'LOC')
Tivoli House	(0, 12, 'LOC')
Tirraboy	(0, 8, 'LOC')
Tirneevin	(0, 9, 'LOC')
Tiragarvan	(0, 10, 'LOC')
South Tipperary	(0, 15, 'LOC')
North Tipperary	(0, 15, 'LOC')
County Tipperary	(0, 16, 'LOC')
Tipperary	(0, 9, 'LOC')
Tintrim House	(0, 13, 'LOC')
Tintern Abbey	(0, 13, 'LOC')
Tinny Park	(0, 10, 'LOC')
Tinnaslatty House	(0, 17, 'LOC')
Timnapark House	(0, 15, 'LOC')
Tinnahinch	(0, 10, 'LOC')
Tinnaglogh	(0, 10, 'LOC')
Tinkerslane	(0, 11, 'LOC')
Tincoora	(0, 8, 'LOC')
Tinarana House	(0, 14, 'LOC')
Tinalira	(0, 8, 'LOC')
Tinahely	(0, 8, 'LOC')
Timoney Park	(0, 12, 'LOC')
Timolin	(0, 7, 'LOC')
Timoleague	(0, 10, 'LOC')
Timahoe	(0, 7, 'LOC')
Tiltinbane	(0, 10, 'LOC')
Tievemore House	(0, 15, 'LOC')
Tievemore	(0, 9, 'LOC')
Tiaquin	(0, 7, 'LOC')
Thurles	(0, 7, 'LOC')
The Three Sisters	(0, 17, 'LOC')
The Pigeons	(0, 11, 'LOC')
Threecastles House	(0, 18, 'LOC')
Three Castle Head	(0, 17, 'LOC')
Thomastown Park	(0, 15, 'LOC')
Thomaston Park	(0, 14, 'LOC')
Thomastown Castle	(0, 17, 'LOC')
Thomastown	(0, 10, 'LOC')
Thomas Street	(0, 13, 'LOC')
Tervoe House	(0, 12, 'LOC')
Terryglass	(0, 10, 'LOC')
Termon River	(0, 12, 'LOC')
Termon Hill	(0, 11, 'LOC')
Termonfeckin	(0, 12, 'LOC')
Termon Cottage	(0, 14, 'LOC')
Termoncarragh	(0, 13, 'LOC')
Termonbarry	(0, 11, 'LOC')
Terenure	(0, 8, 'LOC')
Templetuohy	(0, 11, 'LOC')
Templemore	(0, 10, 'LOC')
Templehouse Lake	(0, 16, 'LOC')
Temple House	(0, 12, 'LOC')
Templebreedy	(0, 12, 'LOC')
Templeboy	(0, 9, 'LOC')
Templebodan	(0, 11, 'LOC')
Temple	(0, 6, 'LOC')
Temora House	(0, 12, 'LOC')
Teltown	(0, 7, 'LOC')
Teeromoyle	(0, 10, 'LOC')
Teerelton	(0, 9, 'LOC')
Teeranearagh	(0, 12, 'LOC')
Teelin Bay	(0, 10, 'LOC')
Teelin	(0, 6, 'LOC')
