street_name	loc_col
ABBEY PARK	(0, 10, 'LOC')
ABBEY STREET LOWER	(0, 18, 'LOC')
ABBEY STREET MIDDLE	(0, 19, 'LOC')
OLD ABBEY STREET	(0, 16, 'LOC')
ABBEY STREET UPPER	(0, 18, 'LOC')
ABBEYFIELD	(0, 10, 'LOC')
ABBEYFIELD	(0, 10, 'LOC')
ABBEYFIELD	(0, 10, 'LOC')
ABBOTSTOWN AVENUE	(0, 17, 'LOC')
ABBOTSTOWN DRIVE	(0, 16, 'LOC')
ABBOTSTOWN ROAD	(0, 15, 'LOC')
ABERCORN ROAD	(0, 13, 'LOC')
ABERCORN TERRACE	(0, 16, 'LOC')
ABERDEEN STREET	(0, 15, 'LOC')
ACCOMMODATION WALK	(0, 18, 'LOC')
ACCOMMODATION WALK	(0, 18, 'LOC')
ACHILL ROAD	(0, 11, 'LOC')
ADAIR LANE	(0, 10, 'LOC')
ADAM COURT	(0, 10, 'LOC')
ADARE AVENUE	(0, 12, 'LOC')
ADARE DRIVE	(0, 11, 'LOC')
ADARE GREEN	(0, 11, 'LOC')
ADARE PARK	(0, 10, 'LOC')
ADARE ROAD	(0, 10, 'LOC')
ADDISON PLACE	(0, 13, 'LOC')
ADDISON ROAD	(0, 12, 'LOC')
ADELAIDE ROAD	(0, 13, 'LOC')
ADRIAN AVENUE	(0, 13, 'LOC')
AIDEEN AVENUE	(0, 13, 'LOC')
AIDEEN DRIVE	(0, 12, 'LOC')
AIDEEN PLACE	(0, 12, 'LOC')
AIKENHEAD TERRACE	(0, 17, 'LOC')
AILESBURY DRIVE	(0, 15, 'LOC')
AILESBURY GARDENS	(0, 17, 'LOC')
AILESBURY GARDENS	(0, 17, 'LOC')
AILESBURY GROVE	(0, 15, 'LOC')
AILESBURY MEWS	(0, 14, 'LOC')
AILESBURY PARK	(0, 14, 'LOC')
AILESBURY ROAD	(0, 14, 'LOC')
AILESBURY ROAD	(0, 14, 'LOC')
AILESBURY LANE	(0, 14, 'LOC')
AIRFIELD COURT	(0, 14, 'LOC')
AIRFIELD PARK	(0, 13, 'LOC')
AIRFIELD ROAD	(0, 13, 'LOC')
ALBANY ROAD	(0, 11, 'LOC')
ALBANY ROAD	(0, 11, 'LOC')
ALBERT COLLEGE AVENUE	(0, 21, 'LOC')
ALBERT COLLEGE CRESCENT	(0, 23, 'LOC')
ALBERT COLLEGE DRIVE	(0, 20, 'LOC')
ALBERT COLLEGE GROVE	(0, 20, 'LOC')
ALBERT COLLEGE LAWN	(0, 19, 'LOC')
ALBERT COLLEGE PARK	(0, 19, 'LOC')
