name,country code
Tullyrossmearan,IE
Mourne Beg River,IE
Lough Macnean Upper,IE
River Foyle,IE
River Erne,IE
Dromore Lough,IE
Dromore Head,IE
Cliff,IE
Claddagh River,IE
Buncrana,IE
Dromore West,IE
Dromore House,IE
Youghal Harbour,IE
Youghal Bay,IE
Youghal Bay,IE
Youghal,IE
Youghal,IE
Yellow River,IE
Yellow River,IE
Yellow River,IE
Yellow River,IE
Yellow Furze,IE
Woodville,IE
Woodville,IE
Wood View,IE
Woodtown West,IE
Woodstown,IE
Woodstock House,IE
Woodsgift House,IE
Woodrooff House,IE
Woodpark,IE
Woodpark,IE
Woodmount,IE
Wood Lodge,IE
Woodlawn Station,IE
Woodlawn,IE
Woodlands Station,IE
Woodhouse,IE
Wood Hill,IE
Woodfort,IE
Woodfort,IE
Woodford River,IE
Woodford,IE
Woodford,IE
Woodfield House,IE
Woodfield House,IE
Woodfield House,IE
Woodenbridge Junction Station,IE
Woodenbridge,IE
Woodbrook House,IE
Woodbrook,IE
Woodbrook,IE
Woodbine Hill,IE
Wingfield House,IE
Windy Harbour,IE
Windy Gap,IE
Windgap,IE
Windfield House,IE
Wilton House,IE
Wilton Castle,IE
Wilmount House,IE
Wilmount House,IE
Wilmount,IE
Wills Grove,IE
Willsbrook House,IE
Willmount House,IE
Willmount,IE
Willmount,IE
Williamstown Lodge,IE
Williamstown House,IE
Williamstown Harbour,IE
Williamstown,IE
Williamstown,IE
Willbrook,IE
Willbrook,IE
Wilkinstown,IE
Wilford House,IE
Wild Bellows Rock,IE
Wicklow Mountains,IE
Wicklow Head,IE
Wicklow Gap,IE
Wicklow Gap,IE
Wicklow,IE
Wicklow,IE
Whiting Bay,IE
Whitfield Court,IE
Whitewood House,IE
Whitewell House,IE
Whites Town,IE
White River,IE
White River,IE
White Point,IE
White Mountain,IE
White Lough,IE
Whitehill House,IE
Whitehall,IE
Paulstown,IE
Whitegate,IE
Whitegate,IE
Whitegate,IE
Whitechurch,IE
Whitechurch,IE
Whitechurch,IE
Whitechurch,IE
White Castle,IE
White Ball Head,IE
Whiddy Island,IE
Wheelam Cross Roads,IE
Whale Head,IE
Wexford Harbour,IE
Loch Garman,IE
Loch Garman,IE
West Village,IE
West Town,IE
West Sister,IE
Westport House,IE
Westport Bay,IE
Westport,IE
Westmoreland Fort,IE
An Iarmhí,IE
Westland Row Station,IE
Westland House,IE
Westfield,IE
West Cove,IE
West Court,IE
Wells House,IE
Wellmount House,IE
Wellingtonbridge,IE
Welchtown,IE
Webbsborough,IE
Weatherstown,IE
Waterville,IE
Waterstown House,IE
Waterloo,IE
Watergrasshill,IE
Waterford North Station,IE
Waterford Manor Station,IE
Waterford Harbour,IE
Waterford,IE
Waterford,IE
Waterfall,IE
Waterdale House,IE
Watch House Village,IE
Warrenstown,IE
Warrens Grove,IE
Warrens Court,IE
War Hill,IE
Hill of Ward,IE
Ward,IE
Walterstown,IE
Walshtown,IE
